NO.,Voltage(NL3),Time(NL3)
559,4.20E+00,1.3750E-05
560,4.20E+00,1.3800E-05
561,4.20E+00,1.3850E-05
562,4.00E+00,1.3900E-05
563,4.20E+00,1.3950E-05
564,4.20E+00,1.4000E-05
565,4.00E+00,1.4050E-05
566,4.00E+00,1.4100E-05
567,4.00E+00,1.4150E-05
568,4.00E+00,1.4200E-05
569,4.00E+00,1.4250E-05
570,4.00E+00,1.4300E-05
571,3.80E+00,1.4350E-05
572,3.80E+00,1.4400E-05
573,3.80E+00,1.4450E-05
574,3.80E+00,1.4500E-05
575,3.80E+00,1.4550E-05
576,3.80E+00,1.4600E-05
577,3.60E+00,1.4650E-05
578,3.40E+00,1.4700E-05
579,3.40E+00,1.4750E-05
580,3.40E+00,1.4800E-05
581,3.40E+00,1.4850E-05
582,3.40E+00,1.4900E-05
583,3.20E+00,1.4950E-05
584,3.20E+00,1.5000E-05
585,3.20E+00,1.5050E-05
586,3.00E+00,1.5100E-05
587,3.00E+00,1.5150E-05
588,2.80E+00,1.5200E-05
589,2.80E+00,1.5250E-05
590,2.60E+00,1.5300E-05
591,2.60E+00,1.5350E-05
592,2.60E+00,1.5400E-05
593,2.40E+00,1.5450E-05
594,2.40E+00,1.5500E-05
595,2.20E+00,1.5550E-05
596,2.40E+00,1.5600E-05
597,2.00E+00,1.5650E-05
598,2.00E+00,1.5700E-05
599,1.80E+00,1.5750E-05
600,1.80E+00,1.5800E-05
601,1.80E+00,1.5850E-05
602,1.60E+00,1.5900E-05
603,1.60E+00,1.5950E-05
604,1.40E+00,1.6000E-05
605,1.40E+00,1.6050E-05
606,1.20E+00,1.6100E-05
607,1.20E+00,1.6150E-05
608,1.00E+00,1.6200E-05
609,1.00E+00,1.6250E-05
610,8.00E-01,1.6300E-05
611,8.00E-01,1.6350E-05
612,8.00E-01,1.6400E-05
613,4.00E-01,1.6450E-05
614,4.00E-01,1.6500E-05
615,2.00E-01,1.6550E-05
616,2.00E-01,1.6600E-05
617,0.00E+00,1.6650E-05
618,0.00E+00,1.6700E-05
619,-2.00E-01,1.6750E-05
620,-2.00E-01,1.6800E-05
621,-2.00E-01,1.6850E-05
622,-6.00E-01,1.6900E-05
623,-6.00E-01,1.6950E-05
624,-6.00E-01,1.7000E-05
625,-8.00E-01,1.7050E-05
626,-1.00E+00,1.7100E-05
627,-8.00E-01,1.7150E-05
628,-1.20E+00,1.7200E-05
629,-1.20E+00,1.7250E-05
630,-1.40E+00,1.7300E-05
631,-1.60E+00,1.7350E-05
632,-1.40E+00,1.7400E-05
633,-1.60E+00,1.7450E-05
634,-1.60E+00,1.7500E-05
635,-1.80E+00,1.7550E-05
636,-1.80E+00,1.7600E-05
637,-2.00E+00,1.7650E-05
638,-2.00E+00,1.7700E-05
639,-2.20E+00,1.7750E-05
640,-2.20E+00,1.7800E-05
641,-2.40E+00,1.7850E-05
642,-2.40E+00,1.7900E-05
643,-2.60E+00,1.7950E-05
644,-2.60E+00,1.8000E-05
645,-2.80E+00,1.8050E-05
646,-3.00E+00,1.8100E-05
647,-3.00E+00,1.8150E-05
648,-3.00E+00,1.8200E-05
649,-3.00E+00,1.8250E-05
650,-3.20E+00,1.8300E-05
651,-3.20E+00,1.8350E-05
652,-3.20E+00,1.8400E-05
653,-3.20E+00,1.8450E-05
654,-3.40E+00,1.8500E-05
655,-3.60E+00,1.8550E-05
656,-3.60E+00,1.8600E-05
657,-3.60E+00,1.8650E-05
658,-3.80E+00,1.8700E-05
659,-3.80E+00,1.8750E-05
660,-3.60E+00,1.8800E-05
661,-3.80E+00,1.8850E-05
662,-3.80E+00,1.8900E-05
663,-3.80E+00,1.8950E-05
664,-4.00E+00,1.9000E-05
665,-4.00E+00,1.9050E-05
666,-4.00E+00,1.9100E-05
667,-4.20E+00,1.9150E-05
668,-4.20E+00,1.9200E-05
669,-4.20E+00,1.9250E-05
670,-4.20E+00,1.9300E-05
671,-4.20E+00,1.9350E-05
672,-4.20E+00,1.9400E-05
673,-4.20E+00,1.9450E-05
674,-4.20E+00,1.9500E-05
675,-4.20E+00,1.9550E-05
676,-4.20E+00,1.9600E-05
677,-4.40E+00,1.9650E-05
678,-4.40E+00,1.9700E-05
679,-4.40E+00,1.9750E-05
680,-4.40E+00,1.9800E-05
681,-4.40E+00,1.9850E-05
682,-4.40E+00,1.9900E-05
683,-4.40E+00,1.9950E-05
684,-4.20E+00,2.0000E-05
685,-4.40E+00,2.0050E-05
686,-4.40E+00,2.0100E-05
687,-4.20E+00,2.0150E-05
688,-4.40E+00,2.0200E-05
689,-4.40E+00,2.0250E-05
690,-4.20E+00,2.0300E-05
691,-4.20E+00,2.0350E-05
692,-4.20E+00,2.0400E-05
693,-4.20E+00,2.0450E-05
694,-4.00E+00,2.0500E-05
695,-4.00E+00,2.0550E-05
696,-4.00E+00,2.0600E-05
697,-4.20E+00,2.0650E-05
698,-4.00E+00,2.0700E-05
699,-4.00E+00,2.0750E-05
700,-4.00E+00,2.0800E-05
701,-4.00E+00,2.0850E-05
702,-3.80E+00,2.0900E-05
703,-3.80E+00,2.0950E-05
704,-3.80E+00,2.1000E-05
705,-3.60E+00,2.1050E-05
706,-3.60E+00,2.1100E-05
707,-3.40E+00,2.1150E-05
708,-3.40E+00,2.1200E-05
709,-3.40E+00,2.1250E-05
710,-3.40E+00,2.1300E-05
711,-3.20E+00,2.1350E-05
712,-3.20E+00,2.1400E-05
713,-3.00E+00,2.1450E-05
714,-3.00E+00,2.1500E-05
715,-3.00E+00,2.1550E-05
716,-2.80E+00,2.1600E-05
717,-2.80E+00,2.1650E-05
718,-2.60E+00,2.1700E-05
719,-2.60E+00,2.1750E-05
720,-2.40E+00,2.1800E-05
721,-2.40E+00,2.1850E-05
722,-2.40E+00,2.1900E-05
723,-2.20E+00,2.1950E-05
724,-2.00E+00,2.2000E-05
725,-2.00E+00,2.2050E-05
726,-1.80E+00,2.2100E-05
727,-1.80E+00,2.2150E-05
728,-1.60E+00,2.2200E-05
729,-1.60E+00,2.2250E-05
730,-1.60E+00,2.2300E-05
731,-1.40E+00,2.2350E-05
732,-1.20E+00,2.2400E-05
733,-1.20E+00,2.2450E-05
734,-1.00E+00,2.2500E-05
735,-1.00E+00,2.2550E-05
736,-1.00E+00,2.2600E-05
737,-8.00E-01,2.2650E-05
738,-6.00E-01,2.2700E-05
739,-6.00E-01,2.2750E-05
740,-4.00E-01,2.2800E-05
741,-2.00E-01,2.2850E-05
742,-4.00E-01,2.2900E-05
743,-2.00E-01,2.2950E-05
744,0.00E+00,2.3000E-05
745,0.00E+00,2.3050E-05
746,2.00E-01,2.3100E-05
747,2.00E-01,2.3150E-05
748,4.00E-01,2.3200E-05
749,4.00E-01,2.3250E-05
750,6.00E-01,2.3300E-05
751,8.00E-01,2.3350E-05
752,8.00E-01,2.3400E-05
753,1.00E+00,2.3450E-05
754,1.00E+00,2.3500E-05
755,1.20E+00,2.3550E-05
756,1.40E+00,2.3600E-05
757,1.40E+00,2.3650E-05
758,1.40E+00,2.3700E-05
759,1.60E+00,2.3750E-05
760,1.80E+00,2.3800E-05
761,1.80E+00,2.3850E-05
762,1.80E+00,2.3900E-05
763,1.80E+00,2.3950E-05
764,2.00E+00,2.4000E-05
765,2.20E+00,2.4050E-05
766,2.20E+00,2.4100E-05
767,2.20E+00,2.4150E-05
768,2.40E+00,2.4200E-05
769,2.40E+00,2.4250E-05
770,2.60E+00,2.4300E-05
